AVA 901 36/1	R1A	EA 15 Functional Structure	15
. CRA 119 1787/3	R1A	EA GUI	
. . CNA 403 2679/3	R1A	GUI	
. . . CAA 901 3129/3	R1A	GUI	
. . . . CXS 102 3130	R1A	Commons-Lang 2.6	2.6
. . . . . 8/CAX 105 3253	R1A	Apache Commons Lang	2.6
. . . . CXS 102 3131	R2A	Log4j 1.2 16	
. . . . . 11/CAX 105 3123	R1A	Apache Log4J	1.2.17
. . . . CXS 102 3132	R2A	Lombok 0.11.6	
. . . . . 2/CAX 105 6250	R1A	Lombok	0.12.0
. . . . CXS 102 3133	R2A	SLF4J - Simple Logging Facade for Java	
. . . . . 16/CAX 105 3096	R1A	SLF4J - Simple Logging Facade for Java	1.7.2
. . . . CXS 102 3134	R1A	JSTL 1.2	1.2
. . . . . 2/CAX 105 3241	R1A	Sun Java Server Pages Standard Tag Library (JSTL) (FOSS)	1.2
. . . . CXS 102 3136	R1A	Common Codec 1.8	1.8
. . . . . 8/CAX 105 3109	R1A	Commons Codec, Apache	1.8
. . . . CXS 102 3137	R1A	GWT-OpenLayers 0.9	0.9
. . . . . 3/CAX 105 5305	R1A	gwt-openlayers	0.9
. . . . CXS 102 3138	R1A	OpenLayers 2.13.1	2.13.1
. . . . . 6/CAX 105 4324	R1A	OpenLayers, The Open Source Geospatial Foundation	2.13.1
. . . . CXS 102 3139	R1A	xebia-servlet extras 1.0.8	1.0.8
. . . . . 1/CAX 105 6335	R1A	xebia-servlet extras	1.0.8
. . . . CXS 102 3320	R1A	OpenStreetMap Data	
. . . . . 1/CAX 105 6492	R1A	OpenStreetMap Data	N/A
. . . . CXS 102 3144	R1A	postgresql  8.4.13	9.2.0
. . . . . 20/CAX 105 3082	R1A	PostgreSQL	9.2.0
. . . . CXS 102 3321	R1A	Mapnik  2.0.2	2.0.2
. . . . . 1/CAX 105 6436	R1A	mapnik	2.0.2
. . . . CXS 102 3322	R1A	osm2pgsql  0.82.0	0.82.0
. . . . . 1/CAX 105 6437	R1A	osm2pgsql	0.82.0
. . . . CXS 102 3323	R1A	mod_tile  0.4	0.4
. . . . . 1/CAX 105 6438	R1A	mod_tile	0.4
. . . . CXS 102 3324	R1A	Mapnik style sheet	REV 29676
